"item_id","scale_id","item_text","source_table"
1,"360emergencymed_azami_2024","She/he performs the clinical examinations according to standardized methods.","360emergencymed_azami_2024"
2,"360emergencymed_azami_2024","The student provides accurate and authoritative information by taking a careful and complete history.","360emergencymed_azami_2024"
3,"360emergencymed_azami_2024","Uses appropriate communication skills while taking a history, performing a clinical examination, or teaching the patient or family.","360emergencymed_azami_2024"
4,"360emergencymed_azami_2024","She/he patiently, timely, and correctly performs the care and treatment procedure (such as nasogastric tube (NG tube, urinary catheterization, arterial blood gas (ABG), Insertion of a Peripheral Intravenous Cannula, blood collection, etc.).","360emergencymed_azami_2024"
5,"360emergencymed_azami_2024","She/he knows the correct use of the medical equipment and the necessity of regular maintenance of the equipment and checks for safety.","360emergencymed_azami_2024"
6,"360emergencymed_azami_2024","She/he is well aware of the patient's situation (assessment, diagnosis, and treatment plan).","360emergencymed_azami_2024"
7,"360emergencymed_azami_2024","Deliver accurate, high-quality, and compassionate patient education in a way that is understandable by the patients and their family members.","360emergencymed_azami_2024"
8,"360emergencymed_azami_2024","She/he has adequate knowledge of how to diagnose and treat common disorders in clinical placements.","360emergencymed_azami_2024"
9,"360emergencymed_azami_2024","Treat each patient as a unique being and have respect for the patient's individuality.","360emergencymed_azami_2024"
10,"360emergencymed_azami_2024","Treat the patients and their companions with dignity and respect.","360emergencymed_azami_2024"
11,"360emergencymed_azami_2024","Respect the patient's beliefs, culture, customs, and practice.","360emergencymed_azami_2024"
12,"360emergencymed_azami_2024","In case of going on leave of absence or being absent, the student makes the necessary arrangement.","360emergencymed_azami_2024"
13,"360emergencymed_azami_2024","Respect patient privacy.","360emergencymed_azami_2024"
14,"360emergencymed_azami_2024","Follow the rules and regulations of the department and hospital.","360emergencymed_azami_2024"
15,"360emergencymed_azami_2024","The student maintains a professional appearance and dress code in accordance with the policy of the clinical setting.","360emergencymed_azami_2024"
16,"360emergencymed_azami_2024","Wear the identification badge in a visible position at all times during working hours in the hospital.","360emergencymed_azami_2024"
17,"360emergencymed_azami_2024","Treat professors, seniors, and people with more experience with respect and dignity.","360emergencymed_azami_2024"
18,"360emergencymed_azami_2024","The students' caring attention is accomplished by applying maximum efforts to respond to the patient's needs and requests as quickly as possible.","360emergencymed_azami_2024"
19,"360emergencymed_azami_2024","Perform her/his duties responsibly and to the highest safety standards.","360emergencymed_azami_2024"
20,"360emergencymed_azami_2024","Demonstrate professional courtesy and respect when communicating with professors, colleagues, patients, etc.","360emergencymed_azami_2024"
21,"360emergencymed_azami_2024","He/she is always punctual and shows up to work on time.","360emergencymed_azami_2024"
22,"360emergencymed_azami_2024","Demonstrates responsibility and accountability for the care provided.","360emergencymed_azami_2024"
23,"360emergencymed_azami_2024","She/he is open to criticism.","360emergencymed_azami_2024"
24,"360emergencymed_azami_2024","In discussion with a colleague, she/he shows a great capacity to accept logical reasoning and strive to maintain a respectful and constructive atmosphere in the discussion (avoid aggressiveness, destructive, and baseless criticism).","360emergencymed_azami_2024"
25,"360emergencymed_azami_2024","She/he avoids all confrontation, both verbal and physical.","360emergencymed_azami_2024"
26,"360emergencymed_azami_2024","She/he seeks to receive feedback on her performance and accepts it when it is given.","360emergencymed_azami_2024"
27,"360emergencymed_azami_2024","she/he is always calm and composed in difficult situations. She/he keeps cool and can solve problems quickly and efficiently.","360emergencymed_azami_2024"
28,"360emergencymed_azami_2024","At clinical placement, all diagnostic measures and treatments are performed under the full supervision of qualified professionals.","360emergencymed_azami_2024"
29,"360emergencymed_azami_2024","She/he knows her/his scientific limitations and asks for advice and help if necessary.","360emergencymed_azami_2024"
30,"360emergencymed_azami_2024","To get scientifically prepared, she/he studies relevant subjects to a sufficient extent.","360emergencymed_azami_2024"
31,"360emergencymed_azami_2024","Report suspicions of impairment or incompetence concerning their colleagues to tackle professional misconduct.","360emergencymed_azami_2024"
32,"360emergencymed_azami_2024","Follows up on the outcomes of all patients cared for and ensures the provision of the necessary information for patients continued after the discharge.","360emergencymed_azami_2024"
33,"360emergencymed_azami_2024","She/he actively participate in presentation of academic conferences and group discussions.","360emergencymed_azami_2024"
34,"360emergencymed_azami_2024","The student pay attention to patients as an individual and is concern for the physical, psychological, and social aspects of their disease.","360emergencymed_azami_2024"
