"doc_id","item_text","scale_id","scale_name","construct_definition","construct_type","doi","citation_key","source_table"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","She/he performs the clinical examinations according to standardized methods.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","The student provides accurate and authoritative information by taking a careful and complete history.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","Uses appropriate communication skills while taking a history, performing a clinical examination, or teaching the patient or family.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","She/he patiently, timely, and correctly performs the care and treatment procedure (such as nasogastric tube (NG tube, urinary catheterization, arterial blood gas (ABG), Insertion of a Peripheral Intravenous Cannula, blood collection, etc.).","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","She/he knows the correct use of the medical equipment and the necessity of regular maintenance of the equipment and checks for safety.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","She/he is well aware of the patient's situation (assessment, diagnosis, and treatment plan).","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","Deliver accurate, high-quality, and compassionate patient education in a way that is understandable by the patients and their family members.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","She/he has adequate knowledge of how to diagnose and treat common disorders in clinical placements.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","Treat each patient as a unique being and have respect for the patient's individuality.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
"360emergencymed_azami_2024::9f883cc98fa864fe1faf5a2d73ac4c9e","Treat the patients and their companions with dignity and respect.","360emergencymed_azami_2024","","Clinical Performance (360-degree Evaluation Instrument)","Behavioral","10.3352/jeehp.2024.21.7","360emergencymed_azami_2024","360emergencymed_azami_2024"
